TOWN,CLERK TEL #,ELECTION,DATE,POLLS OPEN,POLLING LOCATION,STREET ADDRESS,OTHER ELECTION INFO,SCHOOL ELECTION INFO
Addison,802-759-2020,Annual Meeting,3/3/25,7:00 AM,Addison Community Center,"121 VT Route 17 W, Addison",,
Albany,802-755-6100,Annual Meeting,3/4/25,9:00 AM,Albany Town Hall,"833 Main St, Albany","Additional polling place at Albany Town Clerk's Office,
827 Main St, Albany (depends on the year)",
Alburgh,802-796-3468,Annual Meeting,3/3/25,7:00 AM,Alburgh Fire Hall,"36 Firehouse Rd, Alburgh",,
Andover,802-875-2765,Annual Meeting,3/3/25,8:00 AM,Andover Town Hall,"59 Town Hall Rd, Andover",,
Arlington,802-375-2332,Annual Meeting,3/3/25,10:00 AM,"Arlington Memorial High School
Gymnasium","529 E Arlington Rd, Arlington","Floor Meeting Monday, 3/3/25.  Election Tuesday, 3/4/25.",
Athens,802-869-3370,Annual Meeting,3/3/25,10:00 AM,Athens Town Office,"25 Brookline Rd, Athens","Town Meeting: Monday, March 3rd at 6:00pm at the
Athens Community Center (Former Elementary School) //
Australian Balloting: Tuesday March 4th 10:00 - 7:00 at
the Athens Town Office",
Bakersfield,802-827-4495,Annual Meeting,3/4/25,10:00 AM,Bakersfield Town Hall,"40 E Bakersfield Rd, Bakersfield","Information valid as of 2024. Contact town clerk for
updates.",
Baltimore,802-263-5274,Annual Meeting,3/4/25,10:00 AM,Baltimore Town Office,"1902 Baltimore Rd, Baltimore","Town Meeting begins at 7:15 PM after polls close for
School District voting.",Australian Ballot Polls 10:00 AM - 7:00 PM
Barnard,802-234-9211 x1,Annual Meeting,3/4/25,10:00 AM,Barnard Town Hall,"115 North Rd, Barnard",,Union School polls 10 AM to 7 PM
Barnet,802-633-2256,Annual Meeting,3/4/25,10:00 AM,Barnet School,"163 Kid Row, Barnet",,School election: 3/4/2025 - 7 a.m. to 7 p.m.
Barre City,802-476-0242,Annual Meeting,5/13/25,7:00 AM,Barre Civic Center Auditorium,"19 Auditorium Hill, Barre",,"BUUSD/CVCC School elections - 03/04/2025 at the
Barre Auditorium"
Barre Town,802-479-9391,Annual Meeting,3/4/25,7:00 AM,"Barre Town Middle and
Elementary School","70 Websterville Rd, Barre",,"Barre Unified Union School District and Central Vermont
Career Center Annual Elections - March 4, 2025"
Barton,802-525-6222,Annual Meeting,3/4/25,7:00 PM,Lake Region Union High School,"317 Lake Region Rd, Orleans","Floor meeting only, no polls",
Belvidere,802-644-6621,Annual Meeting,3/4/25,10:00 AM,Belvidere Central School,"4515 Route 109, Belvidere Center",,
Bennington A,802-442-1043,Annual Meeting,3/4/25,7:00 AM,Bennington Fire Dept,"130 River St, Bennington","Information valid as of 2024. Contact town clerk for
updates.",
Bennington B,802-442-1043,Annual Meeting,3/4/25,7:00 AM,North Bennington Trustees Office,"2 Depot St, North Bennington","Information valid as of 2024. Contact town clerk for
updates.",
Benson,802-537-2611,Annual Meeting,3/1/25,10:00 AM,Community Hall,"2724 Stage Rd, Benson","Town offices elected by Australian ballot March 4, 2025.","March 4, 2025 10AM-7PM"
Berkshire,802-933-2335,Annual Meeting,3/3/25,10:00 AM,Berkshire Town Clerk's Office,"4454 Water Tower Rd, Berkshire",,
Berlin,802-229-9298,Annual Meeting,3/1/25,10:00 AM,Berlin Elementary School,"372 Paine Tpke N, Berlin","3/4/2025, 10 am - 7 pm at 108 Shed Rd, Berlin VT 05602
(Australian ballot)",
Bethel,802-234-9722,Annual Meeting,3/4/25,8:00 AM,"White River Unified School -
Bethel Campus","273 Pleasant St, Bethel",,"March 4, 2025 - Election of School Directors"
Bloomfield,802-962-5191,Annual Meeting,3/4/25,10:00 AM,Bloomfield Town Hall,"27 Schoolhouse Rd, Bloomfield","Information valid as of 2024. Contact town clerk for
updates.",
Bolton,802-434-5075 x222,Annual Meeting,3/4/25,7:00 AM,Smilie Elementary School,"2712 Theodore Roosevelt Hwy, Bolton","Information valid as of 2024. Contact town clerk for
updates.",
Bradford,802-222-4727 x200,Annual Meeting,3/1/25,10:00 AM,Bradford Academy Auditorium,"172 North Main St, Bradford","In-person Town Meeting is Sat. March 1, 2025, at 9:00
am. Australian Ballot Voting for Elected Officers is
Tuesday, March 4th, 2025 polls are open 10am-7pm.",OUUSD meeting in May. Date is not set yet.
Braintree,802-728-9787 x3,Annual Meeting,3/4/25,10:00 AM,Braintree Town Hall,"5379 VT Route 12A, Braintree",,9:00 am - 7:00 pm
Brandon,802-247-3635,Annual Meeting,3/4/25,7:00 AM,Brandon American Legion,"550 Franklin St, Brandon","Informational meeting with floor votes on Monday, March
3 at 7pm at Brandon Town Hall.",
Brattleboro,802-251-8157,Annual Meeting,3/4/25,7:00 AM,American Legion,"32 Linden St, Brattleboro","Annual Town Meeting is March 4, 2025 at the American
Legion from 7am to 7pm. Representative Town meeting
is March 22, 2025 at the BUHS Gymnasium beginning at
8:30am.  Representative Town Meeting - March 22, 2025,
BUHS Gymnasium, 8:30am.","WSESD Annual Meeting - March 18, 2025, BUHS
Gymnasium, 7:00pm. WSESD School Board Elections -
March 4, 2025, American Legion, 7am to 7pm"
Bridgewater,802-672-3334 x1,Annual Meeting,3/4/25,9:00 AM,Bridgewater Community Center,"76 Southgate Loop, Bridgewater",,"School Australian Ballot, March 4, 2025 8:00 am to 7:00
pm Town Office, 45 Southgate Loop, Bridgewater, VT"
Bridport,802-758-2483,Annual Meeting,3/4/25,7:00 AM,Bridport Community Hall,"52 Crown Point Rd, Bridport",,
Brighton,802-723-4405,Annual Meeting,3/3/25,9:00 AM,Brighton Town Hall - Gymnasium,"49 Mill St Ext, Brighton","We hold our annual meeting on Monday night at 7:00 PM
starting with the school, and the town immediately follows
at 7:30 PM and then vote by Australian ballot for officers,
for town and school, and North Country Union High
School items on Tuesday, March 4, 2025",
Bristol,802-453-2410 x5,Annual Meeting,3/4/25,7:00 AM,Holley Hall,"1 South St, Bristol","Floor Voting meeting is Monday night 3/3/2025 starting at
6pm and Australian Ballot is Tuesday 3/4/2025.",
Brookfield,802-276-3352,Annual Meeting,3/4/25,9:00 AM,Brookfield Elementary School,"1728 Ridge Rd, Brookfield",,
Brownington,802-754-8401,Annual Meeting,3/4/25,10:00 AM,Brownington Central School,"103 Chase Rd, Brownington",,"Monday, March 10, 2025 at 7:30 pm at Lake Region
Union High School located at 317 Lake Region Rd,
Orleans, VT."
Brunswick,802-962-5514,Annual Meeting,3/4/25,10:00 AM,Community Office Building,"994 VT Route 102, Brunswick",,
Burke,802-467-3717,Annual Meeting,3/4/25,8:00 AM,Burke Community Building,"212 School St, West Burke",Town Garage Bond Vote,Kingdom East School District Budget Vote
Burlington Ward 1,802-865-7000,Annual Meeting,3/4/25,7:00 AM,Ward 1: Mater Christi School,"50 Mansfield Ave, Burlington",,
Burlington Ward 2,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 2: O.N.E. Community
Center","20 Allen St, Burlington",,
Burlington Ward 3,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 3: Sustainability
Academy/Lawrence Barnes
Elementary School","123 North St, Burlington",,
Burlington Ward 4,802-865-7000,Annual Meeting,3/4/25,7:00 AM,Ward 4: Elk's Lodge,"925 North Ave, Burlington",,
Burlington Ward 5,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 5: Burlington Electric
Department","585 Pine St, Burlington",,
Burlington Ward 6,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 6: Edmunds Elementary
School","275 Main St, Burlington",,
Burlington Ward 7,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 7: Robert Miller Recreation
Center","130 Gosse Ct, Burlington",,
Burlington Ward 8,802-865-7000,Annual Meeting,3/4/25,7:00 AM,Ward 8: Fletcher Free Library,"235 College St, Burlington",,
Cabot,802-563-2279,Annual Meeting,3/4/25,7:00 AM,Cabot Town Hall,"3084 Main St, Cabot",,"Tuesday, March 4. School is included on the town's
ballot."
Calais,802-456-8720,Annual Meeting,3/4/25,7:00 AM,Calais Elementary School,"321 Lightening Ridge Rd, Calais",,
Cambridge,802-644-2251,Annual Meeting,3/4/25,7:00 AM,Cambridge Gymnasium,"186 School St, Jeffersonville",,
Canaan,802-266-3370,Annual Meeting,3/3/25,8:00 AM,Canaan Town Office,"318 Christian Hill, Canaan","Australian ballot voting is on March 4, 2025",
Castleton,802-468-5319,Annual Meeting,3/4/25,8:00 AM,"Castleton Public Safety Building
AKA Castleton Fire Station","273 Route 30 N, Castleton","Informational Town Meeting is February 17th, 2025 at
6:30pm at Herrick Auditorium at the Vermont State
University at Castleton.",
Cavendish,802-226-7292,Annual Meeting,3/4/25,10:00 AM,Proctorsville Fire Station,"513 Main St, Proctorsville",,
Charleston,802-895-2814,Annual Meeting,3/4/25,10:00 AM,Charleston Elementary,"255 Center School Rd, Charleston",,"Same as Town, 10am at Charleston Elementary, 255
Center School Rd, Charleston VT"
Charlotte,802-425-3071,Annual Meeting,3/4/25,7:00 AM,Charlotte Town Hall,"159 Ferry Rd, Charlotte","March 1, 2025 - Traditional Town Meeting - Floor Vote",
Chelsea,802-685-4460,Annual Meeting,3/4/25,9:00 AM,Chelsea Town Hall,"296 VT Route 110, Chelsea",,3-Mar-25
Chester,802-875-2173,Annual Meeting,3/4/25,9:00 AM,"Town Hall, 2nd floor","556 Elm St, Chester",,
Chittenden,802-483-6647,Annual Meeting,3/4/25,9:00 AM,Municipal Office,"260 Chittenden Rd, Chittenden",,
Clarendon,802-775-4274 x1,Annual Meeting,3/4/25,10:00 AM,Clarendon Town Hall,"279 Middle Rd, Clarendon",,
Colchester,802-264-5520,Annual Meeting,3/4/25,7:00 AM,Colchester High School,"Laker Lane, Colchester",,
Concord,802-695-2220,Annual Meeting,3/4/25,10:00 AM,Concord Town Hall,"456 Main Street, Concord","Informational meeting Saturday, March 1, 2025 at 10:00
am at Concord Town Hall.",
Corinth,802-439-5850,Annual Meeting,3/4/25,8:30 AM,Town Hall,"1387 Cookeville Rd, Corinth",Town Meeting begins at 10:00AM,
Cornwall,802-462-2775,Annual Meeting,3/1/25,7:00 AM,Cornwall Town Hall,"2629 Route 30, Cornwall","Annual Meeting takes place at the Anna Stowell
Sunderland Bingham Memorial School to vote on all
articles from the floor, except the election of Town
Officials. Election of Town Officials will be by Australian
Ballot and takes place on Tuesday, March 4, 2025 from
7am-7pm at the Cornwall Town Hall.",
Coventry,802-754-2288,Annual Meeting,3/4/25,9:00 AM,Coventry Community Center,"168 Main St, Coventry","Town - all articles are voted off the floor. Town meeting
starts at 10 AM.","Village School - all articles are Australian Ballot. Voting
is 9AM - 7PM town meeting day."
Craftsbury,802-586-2823,Annual Meeting,3/4/25,9:00 AM,Craftsbury Academy Gym,"1422 N Craftsbury Rd, Craftsbury
Common",,
Danby,802-293-5136 x3,Annual Meeting,3/3/25,7:00 AM,Municipal Office,"130 Brook Rd, Danby",Town meeting on March 3.  Voting on March 4.,
Danville,802-684-3352,Annual Meeting,3/4/25,10:00 AM,Danville School Gym,"148 Peacham Rd, Danville",,
Derby,802-766-4906,Annual Meeting,3/3/25,8:00 AM,Derby Municipal Building,"124 Main St, Derby",,
Dorset,802-362-1178 x2,Annual Meeting,3/4/25,7:00 AM,Dorset School,"130 School Dr, Dorset","Information valid as of 2024. Contact town clerk for
updates.",
Dover,802 464 5100,Annual Meeting,3/4/25,10:00AM,Dover Town Hall,"189 Taft Brook Rd, East Dover",,
Dummerston,802-257-1496,Annual Meeting,3/4/25,8:00 AM,Dummerston School,"52 Schoolhouse Rd, East Dummerston",,
Duxbury,802-244-6660,Annual Meeting,3/4/25,7:00 AM,Duxbury Town Office,"5421 VT Route 100, Duxbury",,
East Haven,802-467-3772,Annual Meeting,3/4/25,10:00 AM,"Town of East Haven Community
Building","64 Community Building Rd, East Haven","Information valid as of 2024. Contact town clerk for
updates.",
East Montpelier,802-223-3313 x201,Annual Meeting,3/4/25,7:00 AM,"East Montpelier Elementary
School","665 Vincent Flats Rd, East Montpelier",Our office is CLOSED the day before elections.,
Eden,802-635-2528,Annual Meeting,3/4/25,9:00 AM,Eden Central School,"140 Knowles Flat Rd, Eden",,3/4/25 9am - 7pm
Elmore,802-888-2637,Annual Meeting,3/4/25,8:00 AM,Town Clerk Office,"1175 VT Route 12, Elmore",,
Essex Junction City,802-878-6944 x1623,Annual Meeting,3/4/25,7:00 AM,"Champlain Valley Exposition -
Blue Ribbon Pavilion","105 Pearl St, Essex Junction","Information valid as of 2024. Contact town clerk for
updates.",
Essex Town,802-879-0413,Annual Meeting,3/4/25,7:00 AM,Essex Middle School,"60 Founders Rd, Essex Junction","Information Town Meeting night March 3,2025 4:30pm
Essex Middle School, 60 Founders Rd.",4-Apr-25
Fair Haven,802-265-3610,Annual Meeting,3/4/25,10:00 AM,American Legion Post 49,"72 S Main St, Fair Haven",,
Fairfax,802-849-6111 x10,School Budget Revote,4/8/25,7:00 AM,Fairfax Town Office,12 Buck Hollow Rd,,Australian ballot
Fairfield,802-827-3261,Annual Meeting,3/4/25,7:00 AM,Fairfield School,"57 Park St, Fairfield",,
Fairlee,802-333-4363 x1,Annual Meeting,3/4/25,10:00 AM,Fairlee Town Hall,"75 Town Common Rd, Fairlee",Floor meeting,
Fayston,802-496-2454,Annual Meeting,3/4/25,7:00 AM,Fayston Elementary School,"782 German Flats Rd, Fayston",,"Polling Hours 7AM-7PM Polling Location- Fayston
Elementary School-  782 German Flats Rd, Fayston, VT
05673"
Ferrisburgh,802-877-3429,Annual Meeting,3/1/25,7:00 AM,Town Hall and Community Center,"3279 US Route 7, Ferrisburgh",,
Fletcher,802-849-6616,Annual Meeting,3/4/25,8:00 AM,Fletcher Town Office,"33 Shaw Rd, Fletcher","Town Informational Meeting 03/01/2025 9:00am-11:00am
@ Fletcher Elementary School","School Informational Meeting 03/01/2025 11:30am-
12:30pm @ Fletcher Elementary School"
Franklin,802-285-2101,Annual Meeting,3/4/25,7:00 AM,Franklin Town Hall,"5336 Main St, Franklin",Town business if from the floor at 10:00 am,Australian ballot for school 7am - 7pm
Georgia,802-524-3524,Annual Meeting,3/4/25,7:00 AM,"Georgia Elementary  & Middle
School","4416 Ethan Allen Hwy, St. Albans",,
Glover,802-525-6227,Annual Meeting,3/4/25,10:00 AM,Glover Town Hall,"3018 Glover St, Glover",,
Goshen,802-247-6455,Annual Meeting,3/3/25,9:00 AM,Goshen Town Hall,"34 Carlisle Hill Rd, Goshen",,"OVUUSD Feb. 26, 2025, 6:30pm"
Grafton,802-843-2419,Annual Meeting,3/4/25,9:00 AM,Grafton Elementary School,"58 School Street, Grafton","Any special elections are held at the Town Office at 117
Main Street.",
Granby,802-328-3611,Annual Meeting,3/4/25,10:00 AM,Granby Town Office,"9005 Granby Rd, Granby",,
Grand Isle,802-372-8830,Annual Meeting,3/4/25,7:00 AM,"Grand Isle Municipal Office
Building","9 Hyde Rd, Grand Isle","Information valid as of 2024. Contact town clerk for
updates.",
Granville,802-767-4403,Annual Meeting,3/4/25,6:00 PM,Granville Town Hall,"4157 VT Route 100, Granville","Information valid as of 2024. Contact town clerk for
updates.",
Greensboro,802-533-2911,Annual Meeting,3/4/25,10:00 AM,Highland Center for the Arts,"2875 Hardwick St, Greensboro",,"Hazen Union Elementary School Budget Vote, Highland
Center for the Arts. Polls open 10 am to 7 pm. //
Mountain View Elementary Union School Budget Vote,
Highland Center for the Arts. Polls 10 am to 7 pm."
Groton,802-584-3276,Annual Meeting,3/4/25,10:00 AM,Groton Community Building,"1476 Scott Hwy, Groton",,
Guildhall,802-676-3797,Annual Meeting,3/4/25,10:00 AM,The Guild Hall (Town Office),"13 Courthouse Dr, Guildhall",,same as Town Election
Guilford,802-254-6857 x107,Annual Meeting,3/1/25,10:00 AM,Broad Brook Community Center,"3940 Guilford Center Rd, Guilford","Annual Meeting is the 1st Saturday of March - new this
year.  This will be held at the Guilford Central School, 374
School Rd, Guilford, VT 05301  Voting  will take place on
the 1st Tuesday of March, as usual, at BBCC.",
Halifax,802-368-7390,Annual Meeting,3/4/25,10:00 AM,Halifax Multipurpose Room,"246 Branch Rd, Halifax",,
Hancock,802-767-3660,Annual Meeting,3/4/25,10:00 AM,Hancock Town Hall,"1091 VT Route 100, Hancock",,
Hardwick,802-472-5971,Annual Meeting,3/4/25,9:00 AM,Hardwick Elementary School,"135 South Main St, Hardwick",,
Hartford,802-295-2785,Annual Meeting,3/4/25,7:00 AM,Hartford High School Gym,"37 Highland Ave, White River Junction",,
Hartland,802-436-2444,Annual Meeting,3/4/25,7:00 AM,Damon Hall,"1 Quechee Rd, Hartland",,
Highgate,802-868-5002,Annual Meeting,3/4/25,7:00 AM,Highgate Sports Arena,"243 Gore Rd, Highgate","Town Meeting informational session on February 27 at
6pm, Highgate Elementary School.",
Hinesburg,802-482-2281 x1,Annual Meeting,3/4/25,7:00 AM,Town Hall,"10632 Route 116,  Hinesburg",,
Holland,802-895-4440,Annual Meeting,3/4/25,7:30 AM,Holland Elementary School,"26 School Rd, Holland",,
Hubbardton,802-273-2951,Annual Meeting,3/3/25,10:00 AM,Town Hall,"1831 Monument Hill Rd, Castleton","March 3, 2025 Floor meeting for budget items, March 4th
is Australian ballot vote for town officers.","March 4, 2025. Town Hall - 1831 Monument Hill Rd - 10
AM - 7PM"
Huntington,802-434-2032,Annual Meeting,3/4/25,6:30 AM,Brewster-Pierce School,"120 School St, Huntington",,
Hyde Park,802-888-2300 x8,Annual Meeting,3/4/25,8:30 AM,"Town Office - Lower Level
Meeting Room","344 VT 15 W, Hyde Park",,"School District Annual Meeting 2/17/25 at GMTCC
Meeting Room, 738 VT-15, Hyde Park, VT 05655,
polling will be on Town Meeting Day at Town Office 344
VT 15 W, Hyde Park, VT 05655 (same location/hours as
town polling)"
Ira,802-235-2745,Annual Meeting,3/4/25,10:00 AM,Ira Town Office,"53 West Rd, Ira","March 3, 2025, at 7:00 p.m. School District Meeting.
Informational Hearing to follow at 7:30 at Town Hall.",
Irasburg,802-754-2242,Annual Meeting,3/4/25,6:00 PM,Irasburg Town Hall,"118 Park Ave, Irasburg",,
Isle La Motte,802-928-3434,Annual Meeting,3/4/25,7:00 AM,Town Clerk's Office,"42 School St Ext, Isle La Motte",,
Jamaica,802-874-4681,Annual Meeting,3/4/25,10:00 AM,Jamaica Town Hall,"3735 VT Route 30, Jamaica","Only Floor Voting. Informational meeting February 25 at
7pm.","4th Wednesday of March. School Board elected at Town
Meeting."
Jay,802-988-2996,Annual Meeting,3/4/25,10:00 AM,Jay/Westfield School,"257 Revoir Flat Rd, Jay","When Town/School Meeting end, polls may be moved to
the Town Office until 7 pm.",
Jericho,802-899-4936 x1,Annual Meeting,3/4/25,7:00 AM,"Mount Mansfield Union High
School","211 Browns Trace, Jericho",,
Killington,802-422-3241,Annual Meeting,3/4/25,7:00 AM,Killington Town Office,"2706 River Rd, Killington",,
Kirby,802-626-9386,Annual Meeting,3/4/25,10:00 AM,Kirby Town Hall,"346 Town Hall Rd, Lyndonville",,
Landgrove,802-824-3716,Annual Meeting,3/4/25,6:00 PM,Landgrove Town Hall,"88 Landgrove Rd, Landgrove","Information valid as of 2024. Contact town clerk for
updates.",
Leicester,802-247-5961,Annual Meeting,3/4/25,10:00 AM,Leicester Town Office,"44 Schoolhouse Rd, Leicester","Floor meeting (Budget vote) 03/03/2025. Ballot voting
03/04/2025",
Lemington,802-277-4814,Annual Meeting,3/4/25,10:00 AM,Lemington Town Hall,"2549 River Rd, Lemington",,NEK Choice Polling 10 am - 7 pm at the Town Hall
Lincoln,802-453-2980,Annual Meeting,3/3/25,7:00 AM,Burnham Hall,"52 East River Rd, Lincoln // (Early
voting at Town Office, 62 Quaker St,
Lincoln)","Annual Town and School District meeting begins at 6
p.m. at Burnham Hall on March 3, 2025.
Australian ballot voting for officers on Tuesday, March 4,
2025. Polls open 7 a.m. to 7 p.m. at Burnham Hall.","March 4, 2025 at Burnham Hall, 52 East River Rd., polls
open 7am-7pm"
Londonderry,802-824-3356,Annual Meeting,3/4/25,7:00 AM,Londonderry Town Hall,"139 Middletown Rd, Londonderry",,
Lowell,802-744-6559,Annual Meeting,3/4/25,9:00 AM,Lowell Graded School,"52 Gelo Park Rd, Lowell",,
Ludlow,802-228-3232,Annual Meeting,3/3/25,10:00 AM,Town Hall,"37 Depot Street, Ludlow","Australian Ballot Voting March 4, 2025",
Lunenburg,802-892-5959,Annual Meeting,3/4/25,9:00 AM,Lunenburg Elementary School,"49 Bobbin Mill Rd, Lunenburg",,
Lyndon,802-626-5785,Annual Meeting,3/4/25,10:00 AM,Municipal Office Building,"119 Park Ave, Lyndonville",,
