TOWN,CLERK TEL #,ELECTION,DATE,POLLS OPEN,POLLING LOCATION,STREET ADDRESS,OTHER ELECTION INFO,SCHOOL ELECTION INFO,latitude,longitude,geocode_status
Addison,802-759-2020,Annual Meeting,3/3/25,7:00 AM,Addison Community Center,"121 VT Route 17 W, Addison",,,44.0537796,-73.4130329,success
Albany,802-755-6100,Annual Meeting,3/4/25,9:00 AM,Albany Town Hall,"833 Main St, Albany","Additional polling place at Albany Town Clerk's Office,
827 Main St, Albany (depends on the year)",,44.7309903,-72.3793124,success
Alburgh,802-796-3468,Annual Meeting,3/3/25,7:00 AM,Alburgh Fire Hall,"36 Firehouse Rd, Alburgh",,,44.9800364,-73.3058124,success
Andover,802-875-2765,Annual Meeting,3/3/25,8:00 AM,Andover Town Hall,"59 Town Hall Rd, Andover",,,43.2769757,-72.6988317,success
Arlington,802-375-2332,Annual Meeting,3/3/25,10:00 AM,"Arlington Memorial High School
Gymnasium","529 E Arlington Rd, Arlington","Floor Meeting Monday, 3/3/25.  Election Tuesday, 3/4/25.",,43.0666579,-73.1511183,success
Athens,802-869-3370,Annual Meeting,3/3/25,10:00 AM,Athens Town Office,"25 Brookline Rd, Athens","Town Meeting: Monday, March 3rd at 6:00pm at the
Athens Community Center (Former Elementary School) //
Australian Balloting: Tuesday March 4th 10:00 - 7:00 at
the Athens Town Office",,43.1298921,-72.5674804,success
Bakersfield,802-827-4495,Annual Meeting,3/4/25,10:00 AM,Bakersfield Town Hall,"40 E Bakersfield Rd, Bakersfield","Information valid as of 2024. Contact town clerk for
updates.",,44.781754,-72.8009168,success
Baltimore,802-263-5274,Annual Meeting,3/4/25,10:00 AM,Baltimore Town Office,"1902 Baltimore Rd, Baltimore","Town Meeting begins at 7:15 PM after polls close for
School District voting.",Australian Ballot Polls 10:00 AM - 7:00 PM,43.3616083,-72.5713743,success
Barnard,802-234-9211 x1,Annual Meeting,3/4/25,10:00 AM,Barnard Town Hall,"115 North Rd, Barnard",,Union School polls 10 AM to 7 PM,43.7302772,-72.6184323,success
Barnet,802-633-2256,Annual Meeting,3/4/25,10:00 AM,Barnet School,"163 Kid Row, Barnet",,School election: 3/4/2025 - 7 a.m. to 7 p.m.,44.3068395,-72.0800487,success
Barre City,802-476-0242,Annual Meeting,5/13/25,7:00 AM,Barre Civic Center Auditorium,"19 Auditorium Hill, Barre",,"BUUSD/CVCC School elections - 03/04/2025 at the
Barre Auditorium",44.2023276,-72.5044486,success
Barre Town,802-479-9391,Annual Meeting,3/4/25,7:00 AM,"Barre Town Middle and
Elementary School","70 Websterville Rd, Barre",,"Barre Unified Union School District and Central Vermont
Career Center Annual Elections - March 4, 2025",44.1656058,-72.487543,success
Barton,802-525-6222,Annual Meeting,3/4/25,7:00 PM,Lake Region Union High School,"317 Lake Region Rd, Orleans","Floor meeting only, no polls",,44.7831906,-72.2207416,success
Belvidere,802-644-6621,Annual Meeting,3/4/25,10:00 AM,Belvidere Central School,"4515 Route 109, Belvidere Center",,,44.7470532,-72.7014801,success
Bennington A,802-442-1043,Annual Meeting,3/4/25,7:00 AM,Bennington Fire Dept,"130 River St, Bennington","Information valid as of 2024. Contact town clerk for
updates.",,42.88245,-73.199939,success
Bennington B,802-442-1043,Annual Meeting,3/4/25,7:00 AM,North Bennington Trustees Office,"2 Depot St, North Bennington","Information valid as of 2024. Contact town clerk for
updates.",,42.9323002,-73.2421727,success
Benson,802-537-2611,Annual Meeting,3/1/25,10:00 AM,Community Hall,"2724 Stage Rd, Benson","Town offices elected by Australian ballot March 4, 2025.","March 4, 2025 10AM-7PM",43.7084489,-73.3102253,success
Berkshire,802-933-2335,Annual Meeting,3/3/25,10:00 AM,Berkshire Town Clerk's Office,"4454 Water Tower Rd, Berkshire",,,44.97164,-72.7740536,success
Berlin,802-229-9298,Annual Meeting,3/1/25,10:00 AM,Berlin Elementary School,"372 Paine Tpke N, Berlin","3/4/2025, 10 am - 7 pm at 108 Shed Rd, Berlin VT 05602
(Australian ballot)",,44.2145352,-72.5718741,success
Bethel,802-234-9722,Annual Meeting,3/4/25,8:00 AM,"White River Unified School -
Bethel Campus","273 Pleasant St, Bethel",,"March 4, 2025 - Election of School Directors",43.832961,-72.6436893,success
Bloomfield,802-962-5191,Annual Meeting,3/4/25,10:00 AM,Bloomfield Town Hall,"27 Schoolhouse Rd, Bloomfield","Information valid as of 2024. Contact town clerk for
updates.",,44.7546545,-71.6286695,success
Bolton,802-434-5075 x222,Annual Meeting,3/4/25,7:00 AM,Smilie Elementary School,"2712 Theodore Roosevelt Hwy, Bolton","Information valid as of 2024. Contact town clerk for
updates.",,44.3737944,-72.8769552,success
Bradford,802-222-4727 x200,Annual Meeting,3/1/25,10:00 AM,Bradford Academy Auditorium,"172 North Main St, Bradford","In-person Town Meeting is Sat. March 1, 2025, at 9:00
am. Australian Ballot Voting for Elected Officers is
Tuesday, March 4th, 2025 polls are open 10am-7pm.",OUUSD meeting in May. Date is not set yet.,43.9972456,-72.1260218,success
Braintree,802-728-9787 x3,Annual Meeting,3/4/25,10:00 AM,Braintree Town Hall,"5379 VT Route 12A, Braintree",,9:00 am - 7:00 pm,43.973157,-72.7489554,success
Brandon,802-247-3635,Annual Meeting,3/4/25,7:00 AM,Brandon American Legion,"550 Franklin St, Brandon","Informational meeting with floor votes on Monday, March
3 at 7pm at Brandon Town Hall.",,43.7934279,-73.0785908,success
Brattleboro,802-251-8157,Annual Meeting,3/4/25,7:00 AM,American Legion,"32 Linden St, Brattleboro","Annual Town Meeting is March 4, 2025 at the American
Legion from 7am to 7pm. Representative Town meeting
is March 22, 2025 at the BUHS Gymnasium beginning at
8:30am.  Representative Town Meeting - March 22, 2025,
BUHS Gymnasium, 8:30am.","WSESD Annual Meeting - March 18, 2025, BUHS
Gymnasium, 7:00pm. WSESD School Board Elections -
March 4, 2025, American Legion, 7am to 7pm",42.856117,-72.5611432,success
Bridgewater,802-672-3334 x1,Annual Meeting,3/4/25,9:00 AM,Bridgewater Community Center,"76 Southgate Loop, Bridgewater",,"School Australian Ballot, March 4, 2025 8:00 am to 7:00
pm Town Office, 45 Southgate Loop, Bridgewater, VT",43.5881451,-72.6243376,success
Bridport,802-758-2483,Annual Meeting,3/4/25,7:00 AM,Bridport Community Hall,"52 Crown Point Rd, Bridport",,,43.9851168,-73.3146025,success
Brighton,802-723-4405,Annual Meeting,3/3/25,9:00 AM,Brighton Town Hall - Gymnasium,"49 Mill St Ext, Brighton","We hold our annual meeting on Monday night at 7:00 PM
starting with the school, and the town immediately follows
at 7:30 PM and then vote by Australian ballot for officers,
for town and school, and North Country Union High
School items on Tuesday, March 4, 2025",,,,not_found
Bristol,802-453-2410 x5,Annual Meeting,3/4/25,7:00 AM,Holley Hall,"1 South St, Bristol","Floor Voting meeting is Monday night 3/3/2025 starting at
6pm and Australian Ballot is Tuesday 3/4/2025.",,44.1329837,-73.0789955,success
Brookfield,802-276-3352,Annual Meeting,3/4/25,9:00 AM,Brookfield Elementary School,"1728 Ridge Rd, Brookfield",,,44.0163953,-72.6066833,success
Brownington,802-754-8401,Annual Meeting,3/4/25,10:00 AM,Brownington Central School,"103 Chase Rd, Brownington",,"Monday, March 10, 2025 at 7:30 pm at Lake Region
Union High School located at 317 Lake Region Rd,
Orleans, VT.",44.8198038,-72.1374651,success
Brunswick,802-962-5514,Annual Meeting,3/4/25,10:00 AM,Community Office Building,"994 VT Route 102, Brunswick",,,44.7362785,-71.6333565,success
Burke,802-467-3717,Annual Meeting,3/4/25,8:00 AM,Burke Community Building,"212 School St, West Burke",Town Garage Bond Vote,Kingdom East School District Budget Vote,44.6453049,-71.9791035,success
Burlington Ward 1,802-865-7000,Annual Meeting,3/4/25,7:00 AM,Ward 1: Mater Christi School,"50 Mansfield Ave, Burlington",,,44.4821005,-73.198394,success
Burlington Ward 2,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 2: O.N.E. Community
Center","20 Allen St, Burlington",,,44.4840277,-73.2151175,success
Burlington Ward 3,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 3: Sustainability
Academy/Lawrence Barnes
Elementary School","123 North St, Burlington",,,44.4839891,-73.2167816,success
Burlington Ward 4,802-865-7000,Annual Meeting,3/4/25,7:00 AM,Ward 4: Elk's Lodge,"925 North Ave, Burlington",,,44.5023767,-73.2397197,success
Burlington Ward 5,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 5: Burlington Electric
Department","585 Pine St, Burlington",,,44.4638145,-73.2155973,success
Burlington Ward 6,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 6: Edmunds Elementary
School","275 Main St, Burlington",,,44.4754444,-73.2083351,success
Burlington Ward 7,802-865-7000,Annual Meeting,3/4/25,7:00 AM,"Ward 7: Robert Miller Recreation
Center","130 Gosse Ct, Burlington",,,44.5134394,-73.2466695,success
Burlington Ward 8,802-865-7000,Annual Meeting,3/4/25,7:00 AM,Ward 8: Fletcher Free Library,"235 College St, Burlington",,,44.4769008,-73.2105249,success
Cabot,802-563-2279,Annual Meeting,3/4/25,7:00 AM,Cabot Town Hall,"3084 Main St, Cabot",,"Tuesday, March 4. School is included on the town's
ballot.",44.4021466,-72.3110219,success
Calais,802-456-8720,Annual Meeting,3/4/25,7:00 AM,Calais Elementary School,"321 Lightening Ridge Rd, Calais",,,44.319376,-72.4515805,success
Cambridge,802-644-2251,Annual Meeting,3/4/25,7:00 AM,Cambridge Gymnasium,"186 School St, Jeffersonville",,,44.6447535,-72.8271487,success
Canaan,802-266-3370,Annual Meeting,3/3/25,8:00 AM,Canaan Town Office,"318 Christian Hill, Canaan","Australian ballot voting is on March 4, 2025",,44.9988126,-71.533353,success
Castleton,802-468-5319,Annual Meeting,3/4/25,8:00 AM,"Castleton Public Safety Building
AKA Castleton Fire Station","273 Route 30 N, Castleton","Informational Town Meeting is February 17th, 2025 at
6:30pm at Herrick Auditorium at the Vermont State
University at Castleton.",,43.6127855,-73.2079788,success
Cavendish,802-226-7292,Annual Meeting,3/4/25,10:00 AM,Proctorsville Fire Station,"513 Main St, Proctorsville",,,43.383475,-72.6381525,success
Charleston,802-895-2814,Annual Meeting,3/4/25,10:00 AM,Charleston Elementary,"255 Center School Rd, Charleston",,"Same as Town, 10am at Charleston Elementary, 255
Center School Rd, Charleston VT",44.8425893,-72.0189366,success
Charlotte,802-425-3071,Annual Meeting,3/4/25,7:00 AM,Charlotte Town Hall,"159 Ferry Rd, Charlotte","March 1, 2025 - Traditional Town Meeting - Floor Vote",,44.3103335,-73.249642,success
Chelsea,802-685-4460,Annual Meeting,3/4/25,9:00 AM,Chelsea Town Hall,"296 VT Route 110, Chelsea",,3-Mar-25,43.9892166,-72.4472814,success
Chester,802-875-2173,Annual Meeting,3/4/25,9:00 AM,"Town Hall, 2nd floor","556 Elm St, Chester",,,43.2685079,-72.5891735,success
Chittenden,802-483-6647,Annual Meeting,3/4/25,9:00 AM,Municipal Office,"260 Chittenden Rd, Chittenden",,,43.7059275,-72.9492165,success
Clarendon,802-775-4274 x1,Annual Meeting,3/4/25,10:00 AM,Clarendon Town Hall,"279 Middle Rd, Clarendon",,,43.5181451,-72.9715804,success
Colchester,802-264-5520,Annual Meeting,3/4/25,7:00 AM,Colchester High School,"Laker Lane, Colchester",,,44.5402696,-73.2151106,success
Concord,802-695-2220,Annual Meeting,3/4/25,10:00 AM,Concord Town Hall,"456 Main Street, Concord","Informational meeting Saturday, March 1, 2025 at 10:00
am at Concord Town Hall.",,44.4284878,-71.8864384,success
Corinth,802-439-5850,Annual Meeting,3/4/25,8:30 AM,Town Hall,"1387 Cookeville Rd, Corinth",Town Meeting begins at 10:00AM,,44.023767,-72.290082,success
Cornwall,802-462-2775,Annual Meeting,3/1/25,7:00 AM,Cornwall Town Hall,"2629 Route 30, Cornwall","Annual Meeting takes place at the Anna Stowell
Sunderland Bingham Memorial School to vote on all
articles from the floor, except the election of Town
Officials. Election of Town Officials will be by Australian
Ballot and takes place on Tuesday, March 4, 2025 from
7am-7pm at the Cornwall Town Hall.",,43.9613191,-73.2093307,success
Coventry,802-754-2288,Annual Meeting,3/4/25,9:00 AM,Coventry Community Center,"168 Main St, Coventry","Town - all articles are voted off the floor. Town meeting
starts at 10 AM.","Village School - all articles are Australian Ballot. Voting
is 9AM - 7PM town meeting day.",44.8666873,-72.2644627,success
Craftsbury,802-586-2823,Annual Meeting,3/4/25,9:00 AM,Craftsbury Academy Gym,"1422 N Craftsbury Rd, Craftsbury
Common",,,44.6366781,-72.3750717,success
Danby,802-293-5136 x3,Annual Meeting,3/3/25,7:00 AM,Municipal Office,"130 Brook Rd, Danby",Town meeting on March 3.  Voting on March 4.,,43.3466971,-72.9990838,success
Danville,802-684-3352,Annual Meeting,3/4/25,10:00 AM,Danville School Gym,"148 Peacham Rd, Danville",,,44.4102276,-72.1444193,success
Derby,802-766-4906,Annual Meeting,3/3/25,8:00 AM,Derby Municipal Building,"124 Main St, Derby",,,44.9526549,-72.1319196,success
Dorset,802-362-1178 x2,Annual Meeting,3/4/25,7:00 AM,Dorset School,"130 School Dr, Dorset","Information valid as of 2024. Contact town clerk for
updates.",,43.2219276,-73.0658569,success
Dover,802 464 5100,Annual Meeting,3/4/25,10:00AM,Dover Town Hall,"189 Taft Brook Rd, East Dover",,,42.944049,-72.8022483,success
Dummerston,802-257-1496,Annual Meeting,3/4/25,8:00 AM,Dummerston School,"52 Schoolhouse Rd, East Dummerston",,,,,not_found
Duxbury,802-244-6660,Annual Meeting,3/4/25,7:00 AM,Duxbury Town Office,"5421 VT Route 100, Duxbury",,,44.3200034,-72.7599651,success
East Haven,802-467-3772,Annual Meeting,3/4/25,10:00 AM,"Town of East Haven Community
Building","64 Community Building Rd, East Haven","Information valid as of 2024. Contact town clerk for
updates.",,44.6398415,-71.8918792,success
East Montpelier,802-223-3313 x201,Annual Meeting,3/4/25,7:00 AM,"East Montpelier Elementary
School","665 Vincent Flats Rd, East Montpelier",Our office is CLOSED the day before elections.,,44.2871333,-72.4961468,success
Eden,802-635-2528,Annual Meeting,3/4/25,9:00 AM,Eden Central School,"140 Knowles Flat Rd, Eden",,3/4/25 9am - 7pm,44.7051395,-72.5648596,success
Elmore,802-888-2637,Annual Meeting,3/4/25,8:00 AM,Town Clerk Office,"1175 VT Route 12, Elmore",,,44.5411489,-72.5233734,success
Essex Junction City,802-878-6944 x1623,Annual Meeting,3/4/25,7:00 AM,"Champlain Valley Exposition -
Blue Ribbon Pavilion","105 Pearl St, Essex Junction","Information valid as of 2024. Contact town clerk for
updates.",,44.4975192,-73.1204796,success
Essex Town,802-879-0413,Annual Meeting,3/4/25,7:00 AM,Essex Middle School,"60 Founders Rd, Essex Junction","Information Town Meeting night March 3,2025 4:30pm
Essex Middle School, 60 Founders Rd.",4-Apr-25,,,not_found
Fair Haven,802-265-3610,Annual Meeting,3/4/25,10:00 AM,American Legion Post 49,"72 S Main St, Fair Haven",,,43.5825365,-73.2642863,success
Fairfax,802-849-6111 x10,School Budget Revote,4/8/25,7:00 AM,Fairfax Town Office,12 Buck Hollow Rd,,Australian ballot,44.6743963,-73.0183258,success
Fairfield,802-827-3261,Annual Meeting,3/4/25,7:00 AM,Fairfield School,"57 Park St, Fairfield",,,44.8004439,-72.9479853,success
Fairlee,802-333-4363 x1,Annual Meeting,3/4/25,10:00 AM,Fairlee Town Hall,"75 Town Common Rd, Fairlee",Floor meeting,,43.9083695,-72.1423104,success
Fayston,802-496-2454,Annual Meeting,3/4/25,7:00 AM,Fayston Elementary School,"782 German Flats Rd, Fayston",,"Polling Hours 7AM-7PM Polling Location- Fayston
Elementary School-  782 German Flats Rd, Fayston, VT
05673",44.1796712,-72.8854042,success
Ferrisburgh,802-877-3429,Annual Meeting,3/1/25,7:00 AM,Town Hall and Community Center,"3279 US Route 7, Ferrisburgh",,,44.258311,-73.2286106,success
Fletcher,802-849-6616,Annual Meeting,3/4/25,8:00 AM,Fletcher Town Office,"33 Shaw Rd, Fletcher","Town Informational Meeting 03/01/2025 9:00am-11:00am
@ Fletcher Elementary School","School Informational Meeting 03/01/2025 11:30am-
12:30pm @ Fletcher Elementary School",44.6755778,-72.9233606,success
Franklin,802-285-2101,Annual Meeting,3/4/25,7:00 AM,Franklin Town Hall,"5336 Main St, Franklin",Town business if from the floor at 10:00 am,Australian ballot for school 7am - 7pm,44.9839812,-72.9161894,success
Georgia,802-524-3524,Annual Meeting,3/4/25,7:00 AM,"Georgia Elementary  & Middle
School","4416 Ethan Allen Hwy, St. Albans",,,44.7845184,-73.1024409,success
Glover,802-525-6227,Annual Meeting,3/4/25,10:00 AM,Glover Town Hall,"3018 Glover St, Glover",,,44.7057686,-72.1881742,success
Goshen,802-247-6455,Annual Meeting,3/3/25,9:00 AM,Goshen Town Hall,"34 Carlisle Hill Rd, Goshen",,"OVUUSD Feb. 26, 2025, 6:30pm",43.849461,-73.0229188,success
Grafton,802-843-2419,Annual Meeting,3/4/25,9:00 AM,Grafton Elementary School,"58 School Street, Grafton","Any special elections are held at the Town Office at 117
Main Street.",,43.170197,-72.6087226,success
Granby,802-328-3611,Annual Meeting,3/4/25,10:00 AM,Granby Town Office,"9005 Granby Rd, Granby",,,44.5699515,-71.7582696,success
Grand Isle,802-372-8830,Annual Meeting,3/4/25,7:00 AM,"Grand Isle Municipal Office
Building","9 Hyde Rd, Grand Isle","Information valid as of 2024. Contact town clerk for
updates.",,44.7221338,-73.2952077,success
Granville,802-767-4403,Annual Meeting,3/4/25,6:00 PM,Granville Town Hall,"4157 VT Route 100, Granville","Information valid as of 2024. Contact town clerk for
updates.",,43.9682577,-72.8433313,success
Greensboro,802-533-2911,Annual Meeting,3/4/25,10:00 AM,Highland Center for the Arts,"2875 Hardwick St, Greensboro",,"Hazen Union Elementary School Budget Vote, Highland
Center for the Arts. Polls open 10 am to 7 pm. //
Mountain View Elementary Union School Budget Vote,
Highland Center for the Arts. Polls 10 am to 7 pm.",44.5653151,-72.3070731,success
Groton,802-584-3276,Annual Meeting,3/4/25,10:00 AM,Groton Community Building,"1476 Scott Hwy, Groton",,,44.2115509,-72.1973554,success
Guildhall,802-676-3797,Annual Meeting,3/4/25,10:00 AM,The Guild Hall (Town Office),"13 Courthouse Dr, Guildhall",,same as Town Election,44.5650179,-71.5620921,success
Guilford,802-254-6857 x107,Annual Meeting,3/1/25,10:00 AM,Broad Brook Community Center,"3940 Guilford Center Rd, Guilford","Annual Meeting is the 1st Saturday of March - new this
year.  This will be held at the Guilford Central School, 374
School Rd, Guilford, VT 05301  Voting  will take place on
the 1st Tuesday of March, as usual, at BBCC.",,42.7936968,-72.6245298,success
Halifax,802-368-7390,Annual Meeting,3/4/25,10:00 AM,Halifax Multipurpose Room,"246 Branch Rd, Halifax",,,42.7845753,-72.768538,success
Hancock,802-767-3660,Annual Meeting,3/4/25,10:00 AM,Hancock Town Hall,"1091 VT Route 100, Hancock",,,43.9254234,-72.8409434,success
Hardwick,802-472-5971,Annual Meeting,3/4/25,9:00 AM,Hardwick Elementary School,"135 South Main St, Hardwick",,,44.5024104,-72.3676191,success
Hartford,802-295-2785,Annual Meeting,3/4/25,7:00 AM,Hartford High School Gym,"37 Highland Ave, White River Junction",,,43.6576123,-72.3191819,success
Hartland,802-436-2444,Annual Meeting,3/4/25,7:00 AM,Damon Hall,"1 Quechee Rd, Hartland",,,43.5414546,-72.3996366,success
Highgate,802-868-5002,Annual Meeting,3/4/25,7:00 AM,Highgate Sports Arena,"243 Gore Rd, Highgate","Town Meeting informational session on February 27 at
6pm, Highgate Elementary School.",,44.942409,-73.0424665,success
Hinesburg,802-482-2281 x1,Annual Meeting,3/4/25,7:00 AM,Town Hall,"10632 Route 116,  Hinesburg",,,44.3293,-73.1106673,success
Holland,802-895-4440,Annual Meeting,3/4/25,7:30 AM,Holland Elementary School,"26 School Rd, Holland",,,44.9730922,-72.01273,success
Hubbardton,802-273-2951,Annual Meeting,3/3/25,10:00 AM,Town Hall,"1831 Monument Hill Rd, Castleton","March 3, 2025 Floor meeting for budget items, March 4th
is Australian ballot vote for town officers.","March 4, 2025. Town Hall - 1831 Monument Hill Rd - 10
AM - 7PM",,,not_found
Huntington,802-434-2032,Annual Meeting,3/4/25,6:30 AM,Brewster-Pierce School,"120 School St, Huntington",,,44.2957903,-72.9634686,success
Hyde Park,802-888-2300 x8,Annual Meeting,3/4/25,8:30 AM,"Town Office - Lower Level
Meeting Room","344 VT 15 W, Hyde Park",,"School District Annual Meeting 2/17/25 at GMTCC
Meeting Room, 738 VT-15, Hyde Park, VT 05655,
polling will be on Town Meeting Day at Town Office 344
VT 15 W, Hyde Park, VT 05655 (same location/hours as
town polling)",44.5984921,-72.6226139,success
Ira,802-235-2745,Annual Meeting,3/4/25,10:00 AM,Ira Town Office,"53 West Rd, Ira","March 3, 2025, at 7:00 p.m. School District Meeting.
Informational Hearing to follow at 7:30 at Town Hall.",,43.5343051,-73.0640443,success
Irasburg,802-754-2242,Annual Meeting,3/4/25,6:00 PM,Irasburg Town Hall,"118 Park Ave, Irasburg",,,44.8025464,-72.2781245,success
Isle La Motte,802-928-3434,Annual Meeting,3/4/25,7:00 AM,Town Clerk's Office,"42 School St Ext, Isle La Motte",,,,,not_found
Jamaica,802-874-4681,Annual Meeting,3/4/25,10:00 AM,Jamaica Town Hall,"3735 VT Route 30, Jamaica","Only Floor Voting. Informational meeting February 25 at
7pm.","4th Wednesday of March. School Board elected at Town
Meeting.",43.0998778,-72.7779624,success
Jay,802-988-2996,Annual Meeting,3/4/25,10:00 AM,Jay/Westfield School,"257 Revoir Flat Rd, Jay","When Town/School Meeting end, polls may be moved to
the Town Office until 7 pm.",,44.953394,-72.4342144,success
Jericho,802-899-4936 x1,Annual Meeting,3/4/25,7:00 AM,"Mount Mansfield Union High
School","211 Browns Trace, Jericho",,,44.4852339,-72.963092,success
Killington,802-422-3241,Annual Meeting,3/4/25,7:00 AM,Killington Town Office,"2706 River Rd, Killington",,,43.6750667,-72.779712,success
Kirby,802-626-9386,Annual Meeting,3/4/25,10:00 AM,Kirby Town Hall,"346 Town Hall Rd, Lyndonville",,,44.5222287,-71.9387145,success
Landgrove,802-824-3716,Annual Meeting,3/4/25,6:00 PM,Landgrove Town Hall,"88 Landgrove Rd, Landgrove","Information valid as of 2024. Contact town clerk for
updates.",,43.2663132,-72.8572666,success
Leicester,802-247-5961,Annual Meeting,3/4/25,10:00 AM,Leicester Town Office,"44 Schoolhouse Rd, Leicester","Floor meeting (Budget vote) 03/03/2025. Ballot voting
03/04/2025",,43.8663739,-73.1088748,success
Lemington,802-277-4814,Annual Meeting,3/4/25,10:00 AM,Lemington Town Hall,"2549 River Rd, Lemington",,NEK Choice Polling 10 am - 7 pm at the Town Hall,,,not_found
Lincoln,802-453-2980,Annual Meeting,3/3/25,7:00 AM,Burnham Hall,"52 East River Rd, Lincoln // (Early
voting at Town Office, 62 Quaker St,
Lincoln)","Annual Town and School District meeting begins at 6
p.m. at Burnham Hall on March 3, 2025.
Australian ballot voting for officers on Tuesday, March 4,
2025. Polls open 7 a.m. to 7 p.m. at Burnham Hall.","March 4, 2025 at Burnham Hall, 52 East River Rd., polls
open 7am-7pm",,,not_found
Londonderry,802-824-3356,Annual Meeting,3/4/25,7:00 AM,Londonderry Town Hall,"139 Middletown Rd, Londonderry",,,43.1947708,-72.8143082,success
Lowell,802-744-6559,Annual Meeting,3/4/25,9:00 AM,Lowell Graded School,"52 Gelo Park Rd, Lowell",,,44.8053662,-72.4484295,success
Ludlow,802-228-3232,Annual Meeting,3/3/25,10:00 AM,Town Hall,"37 Depot Street, Ludlow","Australian Ballot Voting March 4, 2025",,43.3956673,-72.701321,success
Lunenburg,802-892-5959,Annual Meeting,3/4/25,9:00 AM,Lunenburg Elementary School,"49 Bobbin Mill Rd, Lunenburg",,,44.4652389,-71.6844625,success
Lyndon,802-626-5785,Annual Meeting,3/4/25,10:00 AM,Municipal Office Building,"119 Park Ave, Lyndonville",,,44.5360693,-72.0069245,success
Maidstone,802-676-3210,Annual Meeting,3/4/25,10:00 AM,Maidstone Town Hall,"508 VT RTE 102, Maidstone",,,44.6781382,-71.5977176,success
