NAME,Total Population,state,county,county subdivision,Census Dataset,Census Year,Total Population (%)
Addison,1152,50,001,00325,ACS 5-Year Estimates,2022,100
Bridport,1224,50,001,08575,ACS 5-Year Estimates,2022,100
Bristol,3781,50,001,09025,ACS 5-Year Estimates,2022,100
Cornwall,1067,50,001,16000,ACS 5-Year Estimates,2022,100
Ferrisburgh,2654,50,001,26300,ACS 5-Year Estimates,2022,100
Goshen,129,50,001,28600,ACS 5-Year Estimates,2022,100
Granville,371,50,001,29575,ACS 5-Year Estimates,2022,100
Hancock,480,50,001,31525,ACS 5-Year Estimates,2022,100
Leicester,1119,50,001,39325,ACS 5-Year Estimates,2022,100
Lincoln,1385,50,001,40075,ACS 5-Year Estimates,2022,100
Middlebury,9123,50,001,44350,ACS 5-Year Estimates,2022,100
Monkton,2054,50,001,45550,ACS 5-Year Estimates,2022,100
New Haven,1741,50,001,48700,ACS 5-Year Estimates,2022,100
Orwell,1044,50,001,53725,ACS 5-Year Estimates,2022,100
Panton,793,50,001,53950,ACS 5-Year Estimates,2022,100
Ripton,494,50,001,59650,ACS 5-Year Estimates,2022,100
Salisbury,1168,50,001,62575,ACS 5-Year Estimates,2022,100
Shoreham,1310,50,001,65050,ACS 5-Year Estimates,2022,100
Starksboro,2021,50,001,70075,ACS 5-Year Estimates,2022,100
Vergennes city,2561,50,001,74650,ACS 5-Year Estimates,2022,100
Waltham,418,50,001,76075,ACS 5-Year Estimates,2022,100
Weybridge,793,50,001,83275,ACS 5-Year Estimates,2022,100
Whiting,552,50,001,83800,ACS 5-Year Estimates,2022,100
Arlington,2761,50,003,01450,ACS 5-Year Estimates,2022,100
Bennington,15338,50,003,04825,ACS 5-Year Estimates,2022,100
Dorset,1886,50,003,17725,ACS 5-Year Estimates,2022,100
Glastenbury,0,50,003,27962,ACS 5-Year Estimates,2022,
Landgrove,222,50,003,39025,ACS 5-Year Estimates,2022,100
Manchester,4488,50,003,42850,ACS 5-Year Estimates,2022,100
Peru,434,50,003,55000,ACS 5-Year Estimates,2022,100
Pownal,3280,50,003,57025,ACS 5-Year Estimates,2022,100
Readsboro,736,50,003,58600,ACS 5-Year Estimates,2022,100
Rupert,670,50,003,61000,ACS 5-Year Estimates,2022,100
Sandgate,480,50,003,62875,ACS 5-Year Estimates,2022,100
Searsburg,141,50,003,63175,ACS 5-Year Estimates,2022,100
Shaftsbury,3599,50,003,63550,ACS 5-Year Estimates,2022,100
Stamford,1016,50,003,69775,ACS 5-Year Estimates,2022,100
Sunderland,1251,50,003,71425,ACS 5-Year Estimates,2022,100
Winhall,752,50,003,85075,ACS 5-Year Estimates,2022,100
Woodford,272,50,003,85675,ACS 5-Year Estimates,2022,100
Barnet,1534,50,005,02875,ACS 5-Year Estimates,2022,100
Burke,1276,50,005,10450,ACS 5-Year Estimates,2022,100
Danville,2334,50,005,17125,ACS 5-Year Estimates,2022,100
Groton,1093,50,005,30550,ACS 5-Year Estimates,2022,100
Hardwick,2950,50,005,31825,ACS 5-Year Estimates,2022,100
Kirby,774,50,005,37900,ACS 5-Year Estimates,2022,100
Lyndon,5564,50,005,41725,ACS 5-Year Estimates,2022,100
Newark,608,50,005,47725,ACS 5-Year Estimates,2022,100
Peacham,803,50,005,54400,ACS 5-Year Estimates,2022,100
Ryegate,1103,50,005,61525,ACS 5-Year Estimates,2022,100
St. Johnsbury,7378,50,005,62200,ACS 5-Year Estimates,2022,100
Sheffield,706,50,005,64075,ACS 5-Year Estimates,2022,100
Stannard,189,50,005,69925,ACS 5-Year Estimates,2022,100
Sutton,867,50,005,71575,ACS 5-Year Estimates,2022,100
Walden,1049,50,005,75700,ACS 5-Year Estimates,2022,100
Waterford,1482,50,005,77125,ACS 5-Year Estimates,2022,100
Wheelock,708,50,005,83500,ACS 5-Year Estimates,2022,100
Bolton,1043,50,007,06550,ACS 5-Year Estimates,2022,100
Buels gore,0,50,007,10300,ACS 5-Year Estimates,2022,
Burlington city,44646,50,007,10675,ACS 5-Year Estimates,2022,100
Charlotte,3910,50,007,13300,ACS 5-Year Estimates,2022,100
Colchester,17546,50,007,14875,ACS 5-Year Estimates,2022,100
Essex,22095,50,007,24175,ACS 5-Year Estimates,2022,100
Hinesburg,4695,50,007,33475,ACS 5-Year Estimates,2022,100
Huntington,1843,50,007,34600,ACS 5-Year Estimates,2022,100
Jericho,5105,50,007,36700,ACS 5-Year Estimates,2022,100
Milton,10720,50,007,45250,ACS 5-Year Estimates,2022,100
Richmond,4157,50,007,59275,ACS 5-Year Estimates,2022,100
St. George,815,50,007,62050,ACS 5-Year Estimates,2022,100
Shelburne,7751,50,007,64300,ACS 5-Year Estimates,2022,100
South Burlington city,20241,50,007,66175,ACS 5-Year Estimates,2022,100
Underhill,3146,50,007,73975,ACS 5-Year Estimates,2022,100
Westford,2401,50,007,80350,ACS 5-Year Estimates,2022,100
Williston,10073,50,007,84475,ACS 5-Year Estimates,2022,100
Winooski city,8122,50,007,85150,ACS 5-Year Estimates,2022,100
Averill,0,50,009,02125,ACS 5-Year Estimates,2022,
Avery's gore,0,50,009,02162,ACS 5-Year Estimates,2022,
Bloomfield,255,50,009,06325,ACS 5-Year Estimates,2022,100
Brighton,1089,50,009,08725,ACS 5-Year Estimates,2022,100
Brunswick,97,50,009,10075,ACS 5-Year Estimates,2022,100
Canaan,666,50,009,11800,ACS 5-Year Estimates,2022,100
Concord,1189,50,009,15250,ACS 5-Year Estimates,2022,100
East Haven,271,50,009,21250,ACS 5-Year Estimates,2022,100
Ferdinand,97,50,009,25975,ACS 5-Year Estimates,2022,100
Granby,64,50,009,29125,ACS 5-Year Estimates,2022,100
Guildhall,349,50,009,30775,ACS 5-Year Estimates,2022,100
Lemington,65,50,009,39700,ACS 5-Year Estimates,2022,100
Lewis,0,50,009,39775,ACS 5-Year Estimates,2022,
Lunenburg,1426,50,009,41425,ACS 5-Year Estimates,2022,100
Maidstone,238,50,009,42475,ACS 5-Year Estimates,2022,100
Norton,122,50,009,52750,ACS 5-Year Estimates,2022,100
Victory,48,50,009,75175,ACS 5-Year Estimates,2022,100
Warner's grant,0,50,009,76337,ACS 5-Year Estimates,2022,
Warren's gore,0,50,009,76562,ACS 5-Year Estimates,2022,
Bakersfield,1210,50,011,02500,ACS 5-Year Estimates,2022,100
Berkshire,1636,50,011,05425,ACS 5-Year Estimates,2022,100
Enosburgh,2812,50,011,24050,ACS 5-Year Estimates,2022,100
Fairfax,5040,50,011,24925,ACS 5-Year Estimates,2022,100
Fairfield,1920,50,011,25225,ACS 5-Year Estimates,2022,100
Fletcher,1147,50,011,26500,ACS 5-Year Estimates,2022,100
Franklin,1557,50,011,27100,ACS 5-Year Estimates,2022,100
Georgia,4850,50,011,27700,ACS 5-Year Estimates,2022,100
Highgate,3490,50,011,33025,ACS 5-Year Estimates,2022,100
Montgomery,1021,50,011,45850,ACS 5-Year Estimates,2022,100
Richford,2459,50,011,59125,ACS 5-Year Estimates,2022,100
St. Albans city,6891,50,011,61675,ACS 5-Year Estimates,2022,100
St. Albans,6977,50,011,61750,ACS 5-Year Estimates,2022,100
Sheldon,2333,50,011,64600,ACS 5-Year Estimates,2022,100
Swanton,6758,50,011,71725,ACS 5-Year Estimates,2022,100
Alburgh,1857,50,013,00860,ACS 5-Year Estimates,2022,100
Grand Isle,2186,50,013,29275,ACS 5-Year Estimates,2022,100
Isle La Motte,551,50,013,35875,ACS 5-Year Estimates,2022,100
North Hero,1157,50,013,50650,ACS 5-Year Estimates,2022,100
South Hero,1584,50,013,67000,ACS 5-Year Estimates,2022,100
Belvidere,402,50,015,04375,ACS 5-Year Estimates,2022,100
Cambridge,3809,50,015,11500,ACS 5-Year Estimates,2022,100
Eden,1335,50,015,23500,ACS 5-Year Estimates,2022,100
Elmore,1075,50,015,23725,ACS 5-Year Estimates,2022,100
Hyde Park,3022,50,015,35050,ACS 5-Year Estimates,2022,100
Johnson,3484,50,015,37075,ACS 5-Year Estimates,2022,100
Morristown,5507,50,015,46675,ACS 5-Year Estimates,2022,100
Stowe,5214,50,015,70525,ACS 5-Year Estimates,2022,100
Waterville,659,50,015,77425,ACS 5-Year Estimates,2022,100
Wolcott,1470,50,015,85375,ACS 5-Year Estimates,2022,100
Bradford,2791,50,017,07375,ACS 5-Year Estimates,2022,100
Braintree,940,50,017,07600,ACS 5-Year Estimates,2022,100
Brookfield,1464,50,017,09325,ACS 5-Year Estimates,2022,100
Chelsea,1296,50,017,13525,ACS 5-Year Estimates,2022,100
Corinth,1567,50,017,15700,ACS 5-Year Estimates,2022,100
Fairlee,1158,50,017,25675,ACS 5-Year Estimates,2022,100
Newbury,2065,50,017,48175,ACS 5-Year Estimates,2022,100
Orange,996,50,017,53425,ACS 5-Year Estimates,2022,100
Randolph,4791,50,017,58075,ACS 5-Year Estimates,2022,100
Strafford,1208,50,017,70675,ACS 5-Year Estimates,2022,100
Thetford,2783,50,017,72400,ACS 5-Year Estimates,2022,100
Topsham,1005,50,017,73075,ACS 5-Year Estimates,2022,100
Tunbridge,1208,50,017,73675,ACS 5-Year Estimates,2022,100
Vershire,765,50,017,74950,ACS 5-Year Estimates,2022,100
Washington,1082,50,017,76750,ACS 5-Year Estimates,2022,100
West Fairlee,786,50,017,79975,ACS 5-Year Estimates,2022,100
Williamstown,3534,50,017,84175,ACS 5-Year Estimates,2022,100
Albany,1035,50,019,00475,ACS 5-Year Estimates,2022,100
Barton,2849,50,019,03550,ACS 5-Year Estimates,2022,100
Brownington,1036,50,019,09850,ACS 5-Year Estimates,2022,100
Charleston,943,50,019,13150,ACS 5-Year Estimates,2022,100
Coventry,951,50,019,16150,ACS 5-Year Estimates,2022,100
Craftsbury,1203,50,019,16300,ACS 5-Year Estimates,2022,100
Derby,4566,50,019,17350,ACS 5-Year Estimates,2022,100
Glover,999,50,019,28075,ACS 5-Year Estimates,2022,100
Greensboro,680,50,019,30175,ACS 5-Year Estimates,2022,100
Holland,685,50,019,33775,ACS 5-Year Estimates,2022,100
Irasburg,1231,50,019,35575,ACS 5-Year Estimates,2022,100
Jay,518,50,019,36325,ACS 5-Year Estimates,2022,100
Lowell,1003,50,019,40525,ACS 5-Year Estimates,2022,100
Morgan,872,50,019,46450,ACS 5-Year Estimates,2022,100
Newport,4431,50,019,48850,ACS 5-Year Estimates,2022,100
Newport,1637,50,019,48925,ACS 5-Year Estimates,2022,100
Troy,1756,50,019,73525,ACS 5-Year Estimates,2022,100
Westfield,627,50,019,80200,ACS 5-Year Estimates,2022,100
Westmore,437,50,019,81700,ACS 5-Year Estimates,2022,100
Benson,764,50,021,05200,ACS 5-Year Estimates,2022,100
Brandon,4114,50,021,07750,ACS 5-Year Estimates,2022,100
Castleton,4457,50,021,11950,ACS 5-Year Estimates,2022,100
Chittenden,1344,50,021,14350,ACS 5-Year Estimates,2022,100
Clarendon,2592,50,021,14500,ACS 5-Year Estimates,2022,100
Danby,1181,50,021,16825,ACS 5-Year Estimates,2022,100
Fair Haven,2733,50,021,25375,ACS 5-Year Estimates,2022,100
Hubbardton,856,50,021,34450,ACS 5-Year Estimates,2022,100
Ira,402,50,021,35425,ACS 5-Year Estimates,2022,100
Killington,761,50,021,37685,ACS 5-Year Estimates,2022,100
Mendon,1080,50,021,44125,ACS 5-Year Estimates,2022,100
Middletown Springs,696,50,021,44800,ACS 5-Year Estimates,2022,100
Mount Holly,1223,50,021,47200,ACS 5-Year Estimates,2022,100
Mount Tabor,233,50,021,47425,ACS 5-Year Estimates,2022,100
Pawlet,1365,50,021,54250,ACS 5-Year Estimates,2022,100
Pittsfield,438,50,021,55450,ACS 5-Year Estimates,2022,100
Pittsford,2888,50,021,55600,ACS 5-Year Estimates,2022,100
Poultney,3048,50,021,56875,ACS 5-Year Estimates,2022,100
Proctor,1855,50,021,57250,ACS 5-Year Estimates,2022,100
Rutland city,15819,50,021,61225,ACS 5-Year Estimates,2022,100
Rutland,3928,50,021,61300,ACS 5-Year Estimates,2022,100
Shrewsbury,1295,50,021,65275,ACS 5-Year Estimates,2022,100
Sudbury,698,50,021,71050,ACS 5-Year Estimates,2022,100
Tinmouth,773,50,021,72925,ACS 5-Year Estimates,2022,100
Wallingford,2534,50,021,75925,ACS 5-Year Estimates,2022,100
Wells,902,50,021,77950,ACS 5-Year Estimates,2022,100
West Haven,231,50,021,80875,ACS 5-Year Estimates,2022,100
West Rutland,2375,50,021,82300,ACS 5-Year Estimates,2022,100
Barre city,8488,50,023,03175,ACS 5-Year Estimates,2022,100
Barre,7941,50,023,03250,ACS 5-Year Estimates,2022,100
Berlin,2859,50,023,05650,ACS 5-Year Estimates,2022,100
Cabot,1638,50,023,11125,ACS 5-Year Estimates,2022,100
Calais,1867,50,023,11350,ACS 5-Year Estimates,2022,100
Duxbury,1289,50,023,18550,ACS 5-Year Estimates,2022,100
East Montpelier,2604,50,023,21925,ACS 5-Year Estimates,2022,100
Fayston,1240,50,023,25825,ACS 5-Year Estimates,2022,100
Marshfield,1625,50,023,43600,ACS 5-Year Estimates,2022,100
Middlesex,1991,50,023,44500,ACS 5-Year Estimates,2022,100
Montpelier city,8030,50,023,46000,ACS 5-Year Estimates,2022,100
Moretown,1695,50,023,46225,ACS 5-Year Estimates,2022,100
Northfield,5927,50,023,50275,ACS 5-Year Estimates,2022,100
Plainfield,1192,50,023,55825,ACS 5-Year Estimates,2022,100
Roxbury,1038,50,023,60625,ACS 5-Year Estimates,2022,100
Waitsfield,1675,50,023,75325,ACS 5-Year Estimates,2022,100
Warren,1736,50,023,76525,ACS 5-Year Estimates,2022,100
Waterbury,5333,50,023,76975,ACS 5-Year Estimates,2022,100
Woodbury,704,50,023,85525,ACS 5-Year Estimates,2022,100
Worcester,896,50,023,86125,ACS 5-Year Estimates,2022,100
Athens,529,50,025,01900,ACS 5-Year Estimates,2022,100
Brattleboro,12162,50,025,07900,ACS 5-Year Estimates,2022,100
Brookline,418,50,025,09475,ACS 5-Year Estimates,2022,100
Dover,1227,50,025,17875,ACS 5-Year Estimates,2022,100
Dummerston,2213,50,025,18325,ACS 5-Year Estimates,2022,100
Grafton,650,50,025,28900,ACS 5-Year Estimates,2022,100
Guilford,2313,50,025,30925,ACS 5-Year Estimates,2022,100
Halifax,729,50,025,31150,ACS 5-Year Estimates,2022,100
Jamaica,981,50,025,36175,ACS 5-Year Estimates,2022,100
Londonderry,1937,50,025,40225,ACS 5-Year Estimates,2022,100
Marlboro,1373,50,025,43375,ACS 5-Year Estimates,2022,100
Newfane,1663,50,025,48400,ACS 5-Year Estimates,2022,100
Putney,2630,50,025,57700,ACS 5-Year Estimates,2022,100
Rockingham,4867,50,025,60250,ACS 5-Year Estimates,2022,100
Somerset,0,50,025,65762,ACS 5-Year Estimates,2022,
Stratton,327,50,025,70750,ACS 5-Year Estimates,2022,100
Townshend,1617,50,025,73300,ACS 5-Year Estimates,2022,100
Vernon,2548,50,025,74800,ACS 5-Year Estimates,2022,100
Wardsboro,904,50,025,76225,ACS 5-Year Estimates,2022,100
Westminster,3013,50,025,81400,ACS 5-Year Estimates,2022,100
Whitingham,1459,50,025,83950,ACS 5-Year Estimates,2022,100
Wilmington,1767,50,025,84700,ACS 5-Year Estimates,2022,100
Windham,530,50,025,84850,ACS 5-Year Estimates,2022,100
Andover,612,50,027,01300,ACS 5-Year Estimates,2022,100
Baltimore,347,50,027,02575,ACS 5-Year Estimates,2022,100
Barnard,1141,50,027,02725,ACS 5-Year Estimates,2022,100
Bethel,1850,50,027,05800,ACS 5-Year Estimates,2022,100
Bridgewater,926,50,027,08275,ACS 5-Year Estimates,2022,100
Cavendish,1380,50,027,12250,ACS 5-Year Estimates,2022,100
Chester,3017,50,027,13675,ACS 5-Year Estimates,2022,100
Hartford,10687,50,027,32275,ACS 5-Year Estimates,2022,100
Hartland,3452,50,027,32425,ACS 5-Year Estimates,2022,100
Ludlow,2003,50,027,41275,ACS 5-Year Estimates,2022,100
Norwich,3620,50,027,52900,ACS 5-Year Estimates,2022,100
Plymouth,616,50,027,56050,ACS 5-Year Estimates,2022,100
Pomfret,854,50,027,56350,ACS 5-Year Estimates,2022,100
Reading,628,50,027,58375,ACS 5-Year Estimates,2022,100
Rochester,1299,50,027,60100,ACS 5-Year Estimates,2022,100
Royalton,2755,50,027,60850,ACS 5-Year Estimates,2022,100
Sharon,1499,50,027,63775,ACS 5-Year Estimates,2022,100
Springfield,9097,50,027,69550,ACS 5-Year Estimates,2022,100
Stockbridge,772,50,027,70375,ACS 5-Year Estimates,2022,100
Weathersfield,2844,50,027,77500,ACS 5-Year Estimates,2022,100
Weston,807,50,027,82000,ACS 5-Year Estimates,2022,100
West Windsor,1058,50,027,83050,ACS 5-Year Estimates,2022,100
Windsor,3548,50,027,84925,ACS 5-Year Estimates,2022,100
Woodstock,3020,50,027,85975,ACS 5-Year Estimates,2022,100